"correlation_high"	"Transcript_ID"	"Locus_ID"	"Description"	"RAP.DB.Gene.Symbol.Synonym.s."	"RAP.DB.Gene.Name.Synonym.s."	"CGSNL.Gene.Symbol"	"CGSNL.Gene.Name"	"Oryzabase.Gene.Symbol.Synonym.s."	"Oryzabase.Gene.Name.Synonym.s."	"GO"	"InterPro"	"Transcript.evidence"	"ORF.evidence"	"Curation.Date"	"Literature.PMID"	"FLcDNA.clone.ID"	"Oryzabase.Trait.Gene.ID"	"A.thaliana_gene_id"	"Reciprocal_flag"	"Type"	"Short_description"	"Curator_summary"	"Computational_description"	"gene.alias"	"Note"	"symbol"	"Alias"	"full_name"	"computational_description"	"Dbxref"	"locus_type"	"curator_summary"	"description"	"nochangenat.description"	"NormalizationGroup"
0.56	"Os02t0644100-01"	"Os02g0644100"	"Similar to Heat shock protein STI (Stress inducible protein) (GmSTI)."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)"	"Tetratricopeptide TPR-1 (IPR001440), Heat shock chaperonin-binding (IPR006636), Tetratricopeptide-like helical (IPR011990), Tetratricopeptide repeat-containing (IPR013026), Tetratricopeptide TPR2 (IPR013105), Tetratricopeptide repeat (IPR019734)"	"AK102431 (DDBJ, Best hit)"	"Q43468 (UniProt)"	"-"	"-"	"J033093H17"	"-"	"AT1G62740.1"	"2"	"protein_coding"	"\"stress-inducible protein, putative\""	"\"Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones. The mRNA is cell-to-cell mobile.\""	"\"stress-inducible protein, putative; FUNCTIONS IN: binding; INVOLVED IN: response to cadmium ion, response to stress; LOCATED IN: cytosol, nucleus, plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Heat shock chaperonin-binding (InterPro:IPR006636), Tetratricopeptide TPR-1 (InterPro:IPR001440), Tetratricopeptide-like helical (InterPro:IPR011990), Tetratricopeptide repeat-containing (InterPro:IPR013026), Tetratricopeptide repeat (InterPro:IPR019734); BEST Arabidopsis thaliana protein match is: stress-inducible protein, putative (TAIR:AT1G12270.1)\""	"Hop2"	"stress-inducible protein"	"Hop2"	"-"	"Hop2"	"stress-inducible protein%2C putative%3B FUNCTIONS IN: binding%3B INVOLVED IN: response to cadmium ion%2C response to stress%3B LOCATED IN: cytosol%2C nucleus%2C plasma membrane%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Heat shock chaperonin-binding (InterPro:IPR006636)%2C Tetratricopeptide TPR-1 (InterPro:IPR001440)%2C Tetratricopeptide-like helical (InterPro:IPR011990)%2C Tetratricopeptide repeat-containing (InterPro:IPR013026)%2C Tetratricopeptide repeat (InterPro:IPR019734)%3B BEST Arabidopsis thaliana protein match is: stress-inducible protein%2C putative (TAIR:AT1G12270.1)%3B Has 44605 Blast hits to 18649 proteins in 1479 species: Archae - 1696%3B Bacteria - 14533%3B Metazoa - 9820%3B Fungi - 2891%3B Plants - 3854%3B Viruses - 4%3B Other Eukaryotes - 11807 (source: NCBI BLink)."	"\"PMID:12777046,PMID:18182375,PMID:18433157,PMID:18650403,PMID:18784283,PMID:20005002,PMID:20118269,PMID:20736450,PMID:20856808,PMID:21596689,locus:2026197\""	"protein_coding"	"Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010%2C Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones."	"-"	"-"	"data"
0.56	"Os02t0117200-01"	"Os02g0117200"	"Similar to MIR-interacting saposin-like protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Protein of unknown function DUF3456 (IPR021852)"	"AK241361 (DDBJ, Best hit)"	"B6T6D7 (UniProt)"	"-"	"-"	"J065151F22"	"-"	"AT1G42480.1"	"2"	"protein_coding"	"NULL"	"NULL"	"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3456 (InterPro:IPR021852)"	"-"	"TLR4 regulator/MIR-interacting MSAP protein"	"-"	"-"	"-"	"unknown protein%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: endomembrane system%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF3456 (InterPro:IPR021852)%3B Has 177 Blast hits to 177 proteins in 59 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 140%3B Fungi - 0%3B Plants - 35%3B Viruses - 0%3B Other Eukaryotes - 2 (source: NCBI BLink)."	"\"PMID:12093376,PMID:18775970,PMID:20226671,locus:2206100\""	"protein_coding"	"-"	"-"	"-"	"data"
0.56	"Os05t0364600-01"	"Os05g0364600"	"Similar to pre-mRNA-splicing factor SF2."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"	"RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)"	"AK071503 (DDBJ, Best hit)"	"NP_001150424.1 (RefSeq)"	"-"	"-"	"J023091N08"	"-"	"AT1G09140.3"	"2"	"protein_coding"	"SERINE-ARGININE PROTEIN 30"	"\"Encodes a serine-arginine rich RNA binding protein involved in regulation of splicing (including splicing of itself). Exists as 3 alternative spliced forms that are differentially expressed. Barta et al (2010) have proposed a nomenclature for Serine/Arginine-Rich Protein Splicing Factors (SR proteins): Plant Cell. 2010, 22:2926.\""	"\"SERINE-ARGININE PROTEIN 30 (ATSRP30); CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT1G02840.3)\""	"\"At-SR30,ATSRP30,ATSRP30.1,ATSRP30.2,SR30\""	"SERINE-ARGININE PROTEIN 30"	"SR30"	"\"ATSRP30.1,ATSRP30.2,ATSRP30,SERINE-ARGININE PROTEIN 30,At-SR30,Serine/Arginine-Rich Protein Splicing Factor 30\""	"Serine/Arginine-Rich Protein Splicing Factor 30"	"SERINE-ARGININE PROTEIN 30 (ATSRP30)%3B CONTAINS InterPro DOMAIN/s: RNA recognition motif%2C RNP-1 (InterPro:IPR000504)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%3B BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT1G02840.3)%3B Has 10547 Blast hits to 8837 proteins in 431 species: Archae - 0%3B Bacteria - 274%3B Metazoa - 6368%3B Fungi - 1180%3B Plants - 1529%3B Viruses - 86%3B Other Eukaryotes - 1110 (source: NCBI BLink)."	"\"PMID:10215626,PMID:15034145,PMID:15047901,PMID:15270675,PMID:15452276,PMID:16520337,PMID:16839183,PMID:17556373,PMID:18650403,PMID:18775970,PMID:20736450,PMID:20884799,PMID:21935421,PMID:23132568,PMID:22563826,locus:2195346\""	"protein_coding"	"Encodes a serine-arginine rich RNA binding protein involved in regulation of splicing (including splicing of itself). Exists as 3 alternative spliced forms that are differentially expressed. Barta et al (2010) have proposed a nomenclature for Serine/Arginine-Rich Protein Splicing Factors (SR proteins): Plant Cell. 2010%2C 22:2926."	"-"	"-"	"data"
0.56	"Os04t0521700-01"	"Os04g0521700"	"Similar to OSIGBa0131L05.9 protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK073622 (DDBJ, Best hit)"	"Q01IB2 (UniProt)"	"-"	"-"	"J033049O03"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
0.57	"Os04t0576800-01"	"Os04g0576800"	"Similar to predicted protein."	"-"	"-"	"-"	"-"	"-"	"-"	"Biological Process: lipid metabolic process (GO:0006629), Cellular Component: cytoplasm (GO:0005737), Cellular Component: integral to membrane (GO:0016021), Molecular Function: oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)"	"3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal (IPR001104)"	"AK099759 (DDBJ, Best hit)"	"XP_002872763.1 (RefSeq)"	"-"	"-"	"J013093L13"	"-"	"AT1G72590.1"	"2"	"protein_coding"	"3-oxo-5-alpha-steroid 4-dehydrogenase family protein"	"Encodes a polyphenol reductase."	"\"3-oxo-5-alpha-steroid 4-dehydrogenase family protein; FUNCTIONS IN: oxidoreductase activity, acting on the CH-CH group of donors, 3-oxo-5-alpha-steroid 4-dehydrogenase activity; INVOLVED IN: lipid metabolic process; LOCATED IN: endomembrane system, integral to membrane, cytoplasm; CONTAINS InterPro DOMAIN/s: 3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal (InterPro:IPR001104); BEST Arabidopsis thaliana protein match is: 3-oxo-5-alpha-steroid 4-dehydrogenase family protein (TAIR:AT2G16530.1)\""	"PPRD1"	"3-oxo-5-alpha-steroid 4-dehydrogenase family protein"	"-"	"-"	"-"	"3-oxo-5-alpha-steroid 4-dehydrogenase family protein%3B FUNCTIONS IN: oxidoreductase activity%2C acting on the CH-CH group of donors%2C 3-oxo-5-alpha-steroid 4-dehydrogenase activity%3B INVOLVED IN: lipid metabolic process%3B LOCATED IN: endomembrane system%2C integral to membrane%2C cytoplasm%3B CONTAINS InterPro DOMAIN/s: 3-oxo-5-alpha-steroid 4-dehydrogenase%2C C-terminal (InterPro:IPR001104)%3B BEST Arabidopsis thaliana protein match is: 3-oxo-5-alpha-steroid 4-dehydrogenase family protein (TAIR:AT2G16530.1)%3B Has 1090 Blast hits to 1086 proteins in 214 species: Archae - 0%3B Bacteria - 21%3B Metazoa - 397%3B Fungi - 195%3B Plants - 181%3B Viruses - 0%3B Other Eukaryotes - 296 (source: NCBI BLink)."	"\"PMID:15295017,PMID:15914083,PMID:21558543,locus:2030235\""	"protein_coding"	"-"	"-"	"-"	"data"
0.57	"Os08t0366100-01"	"Os08g0366100"	"Similar to Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein bridging factor 1) (MBF1)."	"-"	"-"	"-"	"-"	"Edf"	"MBF1 transcription factor, Endothelial differentiation factor"	"Molecular Function: DNA binding (GO:0003677), Molecular Function: sequence-specific DNA binding (GO:0043565)"	"Helix-turn-helix type 3 (IPR001387), Lambda repressor-like, DNA-binding (IPR010982), Multiprotein bridging factor 1, N-terminal (IPR013729)"	"AK120339 (DDBJ, Best hit), AK061882 (DDBJ, Best hit)"	"F1DK64 (UniProt)"	"-"	"-"	"J013060M10, 001-041-F01"	"16189"	"AT2G42680.1"	"2"	"protein_coding"	"multiprotein bridging factor 1A"	"\"One of three genes in A. thaliana encoding multiprotein bridging factor 1, a highly conserved transcriptional coactivator.  May serve as a bridging factor between a bZIP factor and TBP.  Its expression is developmentally regulated. The mRNA is cell-to-cell mobile.\""	"\"multiprotein bridging factor 1A (MBF1A); CONTAINS InterPro DOMAIN/s: Lambda repressor-like, DNA-binding (InterPro:IPR010982), Multiprotein bridging factor 1, N-terminal (InterPro:IPR013729), Helix-turn-helix type 3 (InterPro:IPR001387); BEST Arabidopsis thaliana protein match is: multiprotein bridging factor 1B (TAIR:AT3G58680.1)\""	"\"ATMBF1A,MBF1A\""	"multiprotein bridging factor 1A"	"MBF1A"	"\"ATMBF1A,ARABIDOPSIS THALIANA MULTIPROTEIN BRIDGING FACTOR 1A\""	"multiprotein bridging factor 1A"	"multiprotein bridging factor 1A (MBF1A)%3B CONTAINS InterPro DOMAIN/s: Lambda repressor-like%2C DNA-binding (InterPro:IPR010982)%2C Multiprotein bridging factor 1%2C N-terminal (InterPro:IPR013729)%2C Helix-turn-helix type 3 (InterPro:IPR001387)%3B BEST Arabidopsis thaliana protein match is: multiprotein bridging factor 1B (TAIR:AT3G58680.1)%3B Has 672 Blast hits to 672 proteins in 252 species: Archae - 42%3B Bacteria - 8%3B Metazoa - 193%3B Fungi - 147%3B Plants - 135%3B Viruses - 2%3B Other Eukaryotes - 145 (source: NCBI BLink)."	"\"PMID:12969430,PMID:14988493,PMID:15451167,PMID:16244138,PMID:16283071,PMID:18201973,PMID:18650403,PMID:18775970,PMID:19050034,PMID:19783066,locus:2041509\""	"protein_coding"	"One of three genes in A. thaliana encoding multiprotein bridging factor 1%2C a highly conserved transcriptional coactivator.  May serve as a bridging factor between a bZIP factor and TBP.  Its expression is developmentally regulated."	"-"	"-"	"data"
0.57	"Os05t0435400-01"	"Os05g0435400"	"Conserved hypothetical protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK109595 (DDBJ, Best hit)"	"A3A6X8 (UniProt)"	"-"	"-"	"002-137-D03"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
0.57	"Os01t0316600-01"	"Os01g0316600"	"Similar to pre-mRNA-splicing factor SF2."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"	"RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)"	"AK103534 (DDBJ, Best hit)"	"NP_001150424.1 (RefSeq)"	"-"	"-"	"J033132A12"	"-"	"AT1G09140.3"	"1"	"protein_coding"	"SERINE-ARGININE PROTEIN 30"	"\"Encodes a serine-arginine rich RNA binding protein involved in regulation of splicing (including splicing of itself). Exists as 3 alternative spliced forms that are differentially expressed. Barta et al (2010) have proposed a nomenclature for Serine/Arginine-Rich Protein Splicing Factors (SR proteins): Plant Cell. 2010, 22:2926.\""	"\"SERINE-ARGININE PROTEIN 30 (ATSRP30); CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT1G02840.3)\""	"\"At-SR30,ATSRP30,ATSRP30.1,ATSRP30.2,SR30\""	"SERINE-ARGININE PROTEIN 30"	"SR30"	"\"ATSRP30.1,ATSRP30.2,ATSRP30,SERINE-ARGININE PROTEIN 30,At-SR30,Serine/Arginine-Rich Protein Splicing Factor 30\""	"Serine/Arginine-Rich Protein Splicing Factor 30"	"SERINE-ARGININE PROTEIN 30 (ATSRP30)%3B CONTAINS InterPro DOMAIN/s: RNA recognition motif%2C RNP-1 (InterPro:IPR000504)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%3B BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT1G02840.3)%3B Has 10547 Blast hits to 8837 proteins in 431 species: Archae - 0%3B Bacteria - 274%3B Metazoa - 6368%3B Fungi - 1180%3B Plants - 1529%3B Viruses - 86%3B Other Eukaryotes - 1110 (source: NCBI BLink)."	"\"PMID:10215626,PMID:15034145,PMID:15047901,PMID:15270675,PMID:15452276,PMID:16520337,PMID:16839183,PMID:17556373,PMID:18650403,PMID:18775970,PMID:20736450,PMID:20884799,PMID:21935421,PMID:23132568,PMID:22563826,locus:2195346\""	"protein_coding"	"Encodes a serine-arginine rich RNA binding protein involved in regulation of splicing (including splicing of itself). Exists as 3 alternative spliced forms that are differentially expressed. Barta et al (2010) have proposed a nomenclature for Serine/Arginine-Rich Protein Splicing Factors (SR proteins): Plant Cell. 2010%2C 22:2926."	"-"	"-"	"data"
0.57	"Os06t0682900-01"	"Os06g0682900"	"Heat stress associated protein, Long-term acquired thermotolerance"	"HSA32, Hsa32, OsPPS1"	"HEAT-STRESS-ASSOCIATED 32KD PROTEIN, heat-stress-associated 32-kD protein, rice ortholog of Hsa32, Hsa32 homolog, phosphosulfolactate synthase 1"	"HSA32"	"HEAT-STRESS-ASSOCIATED 32KD PROTEIN"	"Hsa32, OsPPS1"	"heat-stress-associated 32-kD protein, rice ortholog of Hsa32, Hsa32 homolog, phosphosulfolactate synthase 1"	"Biological Process: coenzyme M biosynthetic process (GO:0019295), Molecular Function: catalytic activity (GO:0003824)"	"Peptidase S8, subtilisin-related (IPR015500), (2R)-phospho-3-sulpholactate synthase, ComA (IPR003830), Aldolase-type TIM barrel (IPR013785)"	"Inferred from literature"	"Q653W2"	"-"	"24520156"	"-"	"7355"	"AT4G21320.1"	"2"	"protein_coding"	"Aldolase-type TIM barrel family protein"	"Encodes heat-stress-associated 32-kD protein. Up-regulated by heat shock. Thermotolerance in a knockout mutant was compromised following a long recovery period (> 24 h) after acclimation heat shock treatment."	"\"HEAT-STRESS-ASSOCIATED 32 (HSA32); FUNCTIONS IN: catalytic activity; INVOLVED IN: response to heat, heat acclimation; LOCATED IN: cellular_component unknown; EXPRESSED IN: male gametophyte, pollen tube; EXPRESSED DURING: M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Aldolase-type TIM barrel (InterPro:IPR013785), (2R)-phospho-3-sulpholactate synthase, ComA (InterPro:IPR003830), Peptidase S8, subtilisin-related (InterPro:IPR015500)\""	"HSA32"	"Aldolase-type TIM barrel family protein"	"HSA32"	"-"	"HEAT-STRESS-ASSOCIATED 32"	"HEAT-STRESS-ASSOCIATED 32 (HSA32)%3B FUNCTIONS IN: catalytic activity%3B INVOLVED IN: response to heat%2C heat acclimation%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: male gametophyte%2C pollen tube%3B EXPRESSED DURING: M germinated pollen stage%3B CONTAINS InterPro DOMAIN/s: Aldolase-type TIM barrel (InterPro:IPR013785)%2C (2R)-phospho-3-sulpholactate synthase%2C ComA (InterPro:IPR003830)%2C Peptidase S8%2C subtilisin-related (InterPro:IPR015500)%3B Has 279 Blast hits to 279 proteins in 109 species: Archae - 46%3B Bacteria - 111%3B Metazoa - 0%3B Fungi - 36%3B Plants - 41%3B Viruses - 0%3B Other Eukaryotes - 45 (source: NCBI BLink)."	"\"PMID:16500991,PMID:18775970,PMID:23073024,PMID:23439916,PMID:24769482,PMID:25575991,PMID:25711624,locus:2141196\""	"protein_coding"	"Encodes heat-stress-associated 32-kD protein. Up-regulated by heat shock. Thermotolerance in a knockout mutant was compromised following a long recovery period (%3E 24 h) after acclimation heat shock treatment."	"-"	"-"	"data"
0.58	"Os04t0191400-01"	"Os04g0191400"	"Conserved hypothetical protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK121226 (DDBJ, Best hit)"	"A2XQS2 (UniProt)"	"-"	"-"	"J023091G07"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
0.58	"Os01t0840100-01"	"Os01g0840100"	"Heat shock protein Hsp70 family protein."	"-"	"-"	"-"	"-"	"OsMed37_1, Med37_1"	"heat-shock protein 70, heat-shock protein cognate 70, Mediator 37_1"	"Molecular Function: ATP binding (GO:0005524)"	"Heat shock protein Hsp70 (IPR001023), Heat shock protein 70 (IPR013126), Heat shock protein 70, conserved site (IPR018181)"	"AK243277 (DDBJ, Best hit)"	"Q9SAU8 (UniProt)"	"-"	"-"	"J100050G20"	"17626"	"AT5G02500.1"	"1"	"protein_coding"	"heat shock cognate protein 70-1"	"encodes a member of heat shock protein 70 family."	"\"heat shock cognate protein 70-1 (HSC70-1); FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding, response to cadmium ion, response to cold, response to virus, response to heat; LOCATED IN: in 9 components; EXPRESSED IN: 29 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Heat shock protein 70, conserved site (InterPro:IPR018181), Heat shock protein Hsp70 (InterPro:IPR001023), Heat shock protein 70 (InterPro:IPR013126); BEST Arabidopsis thaliana protein match is: Heat shock protein 70 (Hsp 70) family protein (TAIR:AT5G02490.1)\""	"\"AT-HSC70-1,AtHsp70-1,HSC70,HSC70-1,HSP70-1\""	"heat shock cognate protein 70-1"	"HSC70-1"	"\"AT-HSC70-1,ARABIDOPSIS THALIANA HEAT SHOCK COGNATE PROTEIN 70-1,AtHsp70-1,HSC70,HEAT SHOCK COGNATE PROTEIN 70,HSP70-1,HEAT SHOCK PROTEIN 70-1\""	"heat shock cognate protein 70-1"	"heat shock cognate protein 70-1 (HSC70-1)%3B FUNCTIONS IN: ATP binding%3B INVOLVED IN: protein folding%2C response to cadmium ion%2C response to cold%2C response to virus%2C response to heat%3B LOCATED IN: in 9 components%3B EXPRESSED IN: 29 plant structures%3B EXPRESSED DURING: 16 growth stages%3B CONTAINS InterPro DOMAIN/s: Heat shock protein 70%2C conserved site (InterPro:IPR018181)%2C Heat shock protein Hsp70 (InterPro:IPR001023)%2C Heat shock protein 70 (InterPro:IPR013126)%3B BEST Arabidopsis thaliana protein match is: Heat shock protein 70 (Hsp 70) family protein (TAIR:AT5G02490.1)%3B Has 34264 Blast hits to 33945 proteins in 4852 species: Archae - 163%3B Bacteria - 16558%3B Metazoa - 3831%3B Fungi - 1761%3B Plants - 1266%3B Viruses - 306%3B Other Eukaryotes - 10379 (source: NCBI BLink)."	"\"PMID:10508612,PMID:10344193,PMID:9914526,PMID:9437862,PMID:8804399,PMID:8706819,PMID:7651336,PMID:7984243,PMID:8049382,PMID:11807141,PMID:11179422,PMID:11402207,PMID:12433921,PMID:12482876,PMID:10446203,PMID:12805626,PMID:12887064,PMID:14505352,PMID:12954627,PMID:9750105,PMID:14617066,PMID:14655047,PMID:15763661,PMID:15805473,PMID:16636050,PMID:18065690,PMID:18650403,PMID:18775970,PMID:19443614,PMID:19617588,PMID:21139434,PMID:21418353,PMID:21612577,PMID:21586649,PMID:21798377,PMID:22021418,PMID:22115780,PMID:22771433,locus:2181833\""	"protein_coding"	"encodes a member of heat shock protein 70 family."	"-"	"-"	"data"
0.58	"Os08t0532300-01"	"Os08g0532300"	"Similar to Nuclear transport factor 2 (NTF-2) (Allergen Cla h ?)."	"-"	"-"	"-"	"-"	"-"	"-"	"Biological Process: transport (GO:0006810), Cellular Component: intracellular (GO:0005622)"	"Nuclear transport factor 2 (IPR002075), Nuclear transport factor 2, Eukaryote (IPR018222)"	"AK119730 (DDBJ, Best hit), AK065141 (DDBJ, Best hit)"	"Q9XJ54 (UniProt)"	"-"	"-"	"002-157-H12, J013002A14"	"-"	"AT1G27310.1"	"2"	"protein_coding"	"nuclear transport factor 2A"	"\"Encodes an ortholog of yeast NTF2, a nuclear envelop transport protein that functions as the nuclear import receptor for RanGDP, an essential player in nucleocytoplasmic transport.\""	"\"nuclear transport factor 2A (NTF2A); CONTAINS InterPro DOMAIN/s: Nuclear transport factor 2 (InterPro:IPR002075), Nuclear transport factor 2, Eukaryote (InterPro:IPR018222); BEST Arabidopsis thaliana protein match is: nuclear transport factor 2B (TAIR:AT1G27970.1)\""	"NTF2A"	"nuclear transport factor 2A"	"NTF2A"	"-"	"nuclear transport factor 2A"	"nuclear transport factor 2A (NTF2A)%3B CONTAINS InterPro DOMAIN/s: Nuclear transport factor 2 (InterPro:IPR002075)%2C Nuclear transport factor 2%2C Eukaryote (InterPro:IPR018222)%3B BEST Arabidopsis thaliana protein match is: nuclear transport factor 2B (TAIR:AT1G27970.1)%3B Has 977 Blast hits to 977 proteins in 228 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 416%3B Fungi - 243%3B Plants - 223%3B Viruses - 0%3B Other Eukaryotes - 95 (source: NCBI BLink)."	"\"PMID:15496452,PMID:15610358,PMID:16428596,PMID:18775970,locus:2015914\""	"protein_coding"	"Encodes an ortholog of yeast NTF2%2C a nuclear envelop transport protein that functions as the nuclear import receptor for RanGDP%2C an essential player in nucleocytoplasmic transport."	"-"	"-"	"data"
0.59	"Os07t0111100-01"	"Os07g0111100"	"Conserved hypothetical protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK243374 (DDBJ, Best hit)"	"NP_001175018.1 (RefSeq)"	"-"	"-"	"J100062N12"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
0.6	"Os01t0757500-01"	"Os01g0757500"	"CS domain domain containing protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"CS-like domain (IPR007052), SGS (IPR007699), HSP20-like chaperone (IPR008978), Siah interacting protein, N-terminal (IPR015120), CS domain (IPR017447)"	"AK121744 (DDBJ, Best hit)"	"B6SN82 (UniProt)"	"-"	"-"	"J033086D07"	"-"	"AT1G30070.1"	"2"	"protein_coding"	"SGS domain-containing protein"	"NULL"	"\"SGS domain-containing protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052), Siah interacting protein, N-terminal (InterPro:IPR015120), SGS (InterPro:IPR007699), HSP20-like chaperone (InterPro:IPR008978), CS domain (InterPro:IPR017447); BEST Arabidopsis thaliana protein match is: COP1-interacting protein-related (TAIR:AT1G30060.1)\""	"-"	"SGS domain-containing protein"	"-"	"-"	"-"	"SGS domain-containing protein%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: plasma membrane%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052)%2C Siah interacting protein%2C N-terminal (InterPro:IPR015120)%2C SGS (InterPro:IPR007699)%2C HSP20-like chaperone (InterPro:IPR008978)%2C CS domain (InterPro:IPR017447)%3B BEST Arabidopsis thaliana protein match is: COP1-interacting protein-related (TAIR:AT1G30060.1)%3B Has 315 Blast hits to 314 proteins in 126 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 142%3B Fungi - 31%3B Plants - 77%3B Viruses - 0%3B Other Eukaryotes - 65 (source: NCBI BLink)."	"\"PMID:15610345,PMID:17085506,PMID:17888165,PMID:18650403,PMID:18775970,locus:2198284\""	"protein_coding"	"-"	"-"	"-"	"data"
