"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup"
"Os05t0460000-01","Os05g0460000","Similar to 70 kDa heat shock cognate protein 1.","-","-","CTHSP70-1","CYTOSOLIC HEAT SHOCK PROTEIN 70-1","OsctHSP70-1, ctHSP70-1, OsMed37_6, Med37_6","cytosolic HSP70-1, cytosolic heat shock protein 70-1, heat-shock protein cognate 70, Mediator 37_6","Molecular Function: ATP binding (GO:0005524)","Heat shock protein Hsp70 (IPR001023), Heat shock protein 70 (IPR013126), Heat shock protein 70, conserved site (IPR018181)","AK243004 (DDBJ, Best hit)","Q9SAU8 (UniProt)","-","-","J090096I11","13484","AT5G02500.1","1","protein_coding","heat shock cognate protein 70-1","encodes a member of heat shock protein 70 family.","""heat shock cognate protein 70-1 (HSC70-1); FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding, response to cadmium ion, response to cold, response to virus, response to heat; LOCATED IN: in 9 components; EXPRESSED IN: 29 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Heat shock protein 70, conserved site (InterPro:IPR018181), Heat shock protein Hsp70 (InterPro:IPR001023), Heat shock protein 70 (InterPro:IPR013126); BEST Arabidopsis thaliana protein match is: Heat shock protein 70 (Hsp 70) family protein (TAIR:AT5G02490.1)""","""AT-HSC70-1,AtHsp70-1,HSC70,HSC70-1,HSP70-1""","heat shock cognate protein 70-1","HSC70-1","""AT-HSC70-1,ARABIDOPSIS THALIANA HEAT SHOCK COGNATE PROTEIN 70-1,AtHsp70-1,HSC70,HEAT SHOCK COGNATE PROTEIN 70,HSP70-1,HEAT SHOCK PROTEIN 70-1""","heat shock cognate protein 70-1","heat shock cognate protein 70-1 (HSC70-1)%3B FUNCTIONS IN: ATP binding%3B INVOLVED IN: protein folding%2C response to cadmium ion%2C response to cold%2C response to virus%2C response to heat%3B LOCATED IN: in 9 components%3B EXPRESSED IN: 29 plant structures%3B EXPRESSED DURING: 16 growth stages%3B CONTAINS InterPro DOMAIN/s: Heat shock protein 70%2C conserved site (InterPro:IPR018181)%2C Heat shock protein Hsp70 (InterPro:IPR001023)%2C Heat shock protein 70 (InterPro:IPR013126)%3B BEST Arabidopsis thaliana protein match is: Heat shock protein 70 (Hsp 70) family protein (TAIR:AT5G02490.1)%3B Has 34264 Blast hits to 33945 proteins in 4852 species: Archae - 163%3B Bacteria - 16558%3B Metazoa - 3831%3B Fungi - 1761%3B Plants - 1266%3B Viruses - 306%3B Other Eukaryotes - 10379 (source: NCBI BLink).","""PMID:10508612,PMID:10344193,PMID:9914526,PMID:9437862,PMID:8804399,PMID:8706819,PMID:7651336,PMID:7984243,PMID:8049382,PMID:11807141,PMID:11179422,PMID:11402207,PMID:12433921,PMID:12482876,PMID:10446203,PMID:12805626,PMID:12887064,PMID:14505352,PMID:12954627,PMID:9750105,PMID:14617066,PMID:14655047,PMID:15763661,PMID:15805473,PMID:16636050,PMID:18065690,PMID:18650403,PMID:18775970,PMID:19443614,PMID:19617588,PMID:21139434,PMID:21418353,PMID:21612577,PMID:21586649,PMID:21798377,PMID:22021418,PMID:22115780,PMID:22771433,locus:2181833""","protein_coding","encodes a member of heat shock protein 70 family.","-","-","data"
"Os05t0562300-01","Os05g0562300","Similar to DnaJ-like protein.","-","-","-","-","OsDjB7","DnaJ domain protein B7","Biological Process: protein folding (GO:0006457), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)","Heat shock protein DnaJ, N-terminal (IPR001623), Chaperone DnaJ, C-terminal (IPR002939), Heat shock protein DnaJ (IPR003095), HSP40/DnaJ peptide-binding (IPR008971), Heat shock protein DnaJ, conserved site (IPR018253)","AK067414 (DDBJ, Best hit)","NP_001149016.1 (RefSeq)","-","-","J013101C03","12155","AT2G20560.1","2","protein_coding","DNAJ heat shock family protein","NULL","""DNAJ heat shock family protein; FUNCTIONS IN: unfolded protein binding, heat shock protein binding; INVOLVED IN: protein folding; LOCATED IN: cellular_component unknown; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: M germinated pollen stage, 4 anthesis, C globular stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), HSP40/DnaJ peptide-binding (InterPro:IPR008971), Chaperone DnaJ, C-terminal (InterPro:IPR002939), Heat shock protein DnaJ, N-terminal (InterPro:IPR001623), Heat shock protein DnaJ (InterPro:IPR003095), Heat shock protein DnaJ, conserved site (InterPro:IPR018253); BEST Arabidopsis thaliana protein match is: DNAJ heat shock family protein (TAIR:AT4G28480.1)""","-","DNAJ heat shock family protein","-","-","-","DNAJ heat shock family protein%3B FUNCTIONS IN: unfolded protein binding%2C heat shock protein binding%3B INVOLVED IN: protein folding%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: 10 plant structures%3B EXPRESSED DURING: M germinated pollen stage%2C 4 anthesis%2C C globular stage%2C petal differentiation and expansion stage%3B CONTAINS InterPro DOMAIN/s: Molecular chaperone%2C heat shock protein%2C Hsp40%2C DnaJ (InterPro:IPR015609)%2C HSP40/DnaJ peptide-binding (InterPro:IPR008971)%2C Chaperone DnaJ%2C C-terminal (InterPro:IPR002939)%2C Heat shock protein DnaJ%2C N-terminal (InterPro:IPR001623)%2C Heat shock protein DnaJ (InterPro:IPR003095)%2C Heat shock protein DnaJ%2C conserved site (InterPro:IPR018253)%3B BEST Arabidopsis thaliana protein match is: DNAJ heat shock family protein (TAIR:AT4G28480.1)%3B Has 27936 Blast hits to 27733 proteins in 3449 species: Archae - 187%3B Bacteria - 10270%3B Metazoa - 4781%3B Fungi - 2609%3B Plants - 2869%3B Viruses - 17%3B Other Eukaryotes - 7203 (source: NCBI BLink).","""PMID:15047901,PMID:15610345,PMID:16258017,PMID:16623895,PMID:17085506,PMID:17411438,PMID:18156220,PMID:18305208,PMID:18252252,PMID:18650403,PMID:18775970,PMID:20736450,locus:2054809""","protein_coding","-","-","-","data"
"Os06t0116800-01","Os06g0116800","Similar to GFA2.","-","-","-","-","OsDjA9","DnaJ domain protein A9","Biological Process: protein folding (GO:0006457), Biological Process: response to heat (GO:0009408), Molecular Function: ATP binding (GO:0005524), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)","Heat shock protein DnaJ, cysteine-rich domain (IPR001305), Heat shock protein DnaJ, N-terminal (IPR001623), Chaperone DnaJ, C-terminal (IPR002939), Heat shock protein DnaJ (IPR003095), HSP40/DnaJ peptide-binding (IPR008971), Chaperone DnaJ (IPR012724), Heat shock protein DnaJ, conserved site (IPR018253)","AK058985 (DDBJ, Best hit)","B6TA99 (UniProt)","-","-","001-020-E06","12146","AT5G48030.1","2","protein_coding","gametophytic factor 2","encodes a mitochondrially targeted DNAJ protein involved in female gametophyte development.","""gametophytic factor 2 (GFA2); FUNCTIONS IN: unfolded protein binding, heat shock protein binding; INVOLVED IN: in 7 processes; LOCATED IN: mitochondrion; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), HSP40/DnaJ peptide-binding (InterPro:IPR008971), Chaperone DnaJ, C-terminal (InterPro:IPR002939), Heat shock protein DnaJ, N-terminal (InterPro:IPR001623), Heat shock protein DnaJ, conserved site (InterPro:IPR018253), Heat shock protein DnaJ, cysteine-rich domain (InterPro:IPR001305), Heat shock protein DnaJ (InterPro:IPR003095); BEST Arabidopsis thaliana protein match is: DNAJ heat shock family protein (TAIR:AT1G28210.2)""","GFA2","gametophytic factor 2","GFA2","-","gametophytic factor 2","gametophytic factor 2 (GFA2)%3B FUNCTIONS IN: unfolded protein binding%2C heat shock protein binding%3B INVOLVED IN: in 7 processes%3B LOCATED IN: mitochondrion%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Molecular chaperone%2C heat shock protein%2C Hsp40%2C DnaJ (InterPro:IPR015609)%2C HSP40/DnaJ peptide-binding (InterPro:IPR008971)%2C Chaperone DnaJ%2C C-terminal (InterPro:IPR002939)%2C Heat shock protein DnaJ%2C N-terminal (InterPro:IPR001623)%2C Heat shock protein DnaJ%2C conserved site (InterPro:IPR018253)%2C Heat shock protein DnaJ%2C cysteine-rich domain (InterPro:IPR001305)%2C Heat shock protein DnaJ (InterPro:IPR003095)%3B BEST Arabidopsis thaliana protein match is: DNAJ heat shock family protein (TAIR:AT1G28210.2)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).","""PMID:9758709,PMID:12215516,PMID:15047901,PMID:16299181,locus:2162692""","protein_coding","encodes a mitochondrially targeted DNAJ protein involved in female gametophyte development.","-","-","data"
"Os06t0150400-01","Os06g0150400","Conserved hypothetical protein.","-","-","-","-","-","-","-","-","AK067407 (DDBJ, Best hit)","B8B314 (UniProt)","-","-","J013100C15","-","AT4G29520.1","2","protein_coding","NULL","NULL","""LOCATED IN: endoplasmic reticulum, plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Saposin B (InterPro:IPR008139)""","-","nucleophosmin","-","-","-","LOCATED IN: endoplasmic reticulum%2C plasma membrane%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Saposin B (InterPro:IPR008139)%3B Has 137 Blast hits to 137 proteins in 50 species: Archae - 2%3B Bacteria - 0%3B Metazoa - 41%3B Fungi - 10%3B Plants - 36%3B Viruses - 0%3B Other Eukaryotes - 48 (source: NCBI BLink).","""PMID:12169696,PMID:15894741,PMID:16618929,PMID:18650403,PMID:20118269,PMID:23517122,locus:2134348""","protein_coding","-","-","-","data"
"Os06t0195800-01","Os06g0195800","Similar to DNAJ heat shock N-terminal domain-containing protein.","-","-","-","-","OsDjC53","DnaJ domain protein C53","Molecular Function: heat shock protein binding (GO:0031072)","Heat shock protein DnaJ, N-terminal (IPR001623)","AK111076 (DDBJ, Best hit)","NP_188036.1 (RefSeq)","-","-","002-175-E11","12210","AT3G14200.1","2","protein_coding","Chaperone DnaJ-domain superfamily protein","NULL","""Chaperone DnaJ-domain superfamily protein; FUNCTIONS IN: heat shock protein binding; INVOLVED IN: protein folding; LOCATED IN: cellular_component unknown; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), Heat shock protein DnaJ, N-terminal (InterPro:IPR001623); BEST Arabidopsis thaliana protein match is: Chaperone DnaJ-domain superfamily protein (TAIR:AT1G72416.2)""","-","Chaperone DnaJ-domain superfamily protein","-","-","-","Chaperone DnaJ-domain superfamily protein%3B FUNCTIONS IN: heat shock protein binding%3B INVOLVED IN: protein folding%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: 19 plant structures%3B EXPRESSED DURING: 11 growth stages%3B CONTAINS InterPro DOMAIN/s: Molecular chaperone%2C heat shock protein%2C Hsp40%2C DnaJ (InterPro:IPR015609)%2C Heat shock protein DnaJ%2C N-terminal (InterPro:IPR001623)%3B BEST Arabidopsis thaliana protein match is: Chaperone DnaJ-domain superfamily protein (TAIR:AT1G72416.2)%3B Has 21914 Blast hits to 21906 proteins in 3169 species: Archae - 155%3B Bacteria - 8965%3B Metazoa - 3686%3B Fungi - 1997%3B Plants - 2132%3B Viruses - 13%3B Other Eukaryotes - 4966 (source: NCBI BLink).","""PMID:15546358,PMID:16367961,PMID:18305208,PMID:18252252,PMID:18775970,locus:2087492""","protein_coding","-","-","-","data"
"Os06t0231300-01","Os06g0231300","CS domain domain containing protein.","-","-","-","-","ROX3","Regulator of XA21-3","-","CS-like domain (IPR007052), HSP20-like chaperone (IPR008978), CS domain (IPR017447)","AK073934 (DDBJ, Best hit)","B6T728 (UniProt)","-","-","J033076L21","9790","AT5G53400.1","2","protein_coding","HSP20-like chaperones superfamily protein","""Encodes BOBBER1 (BOB1), a non-canonical small heat shock protein required for both development and thermotolerance. BOB1 is cytoplasmic at basal temperatures but forms heat shock granules containing canonical small heat shock proteins at high temperatures. The mRNA is cell-to-cell mobile.""","""BOBBER1 (BOB1); CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052), HSP20-like chaperone (InterPro:IPR008978), CS domain (InterPro:IPR017447); BEST Arabidopsis thaliana protein match is: HSP20-like chaperones superfamily protein (TAIR:AT4G27890.1)""","BOB1","HSP20-like chaperones superfamily protein","BOB1","-","BOBBER1","BOBBER1 (BOB1)%3B CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052)%2C HSP20-like chaperone (InterPro:IPR008978)%2C CS domain (InterPro:IPR017447)%3B BEST Arabidopsis thaliana protein match is: HSP20-like chaperones superfamily protein (TAIR:AT4G27890.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).","""PMID:15047901,PMID:16623895,PMID:16720694,PMID:18650403,PMID:18775970,PMID:19571304,PMID:19648297,PMID:19829061,PMID:21477822,PMID:23213410,PMID:23396601,PMID:24064926,locus:2178431""","protein_coding","Encodes BOBBER1 (BOB1)%2C a non-canonical small heat shock protein required for both development and thermotolerance. BOB1 is cytoplasmic at basal temperatures but forms heat shock granules containing canonical small heat shock proteins at high temperatures.","-","-","data"
"Os06t0253100-01","Os06g0253100","Heat shock protein Hsp20 domain containing protein.","-","-","-","-","-","-","-","Heat shock protein Hsp20 (IPR002068), HSP20-like chaperone (IPR008978)","AK105317 (DDBJ, Best hit)","Q652V8 (UniProt)","-","-","001-117-F06","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data"
"Os06t0506600-01","Os06g0506600","Similar to Ubiquitin carrier protein.","-","-","UBC17","UBIQUITIN-CONJUGATING ENZYME 17","OsUBC17","Ubiquitin-conjugating enzyme 17","Molecular Function: acid-amino acid ligase activity (GO:0016881)","Ubiquitin-conjugating enzyme, E2 (IPR000608), Ubiquitin-conjugating enzyme/RWD-like (IPR016135), Ubiquitin-conjugating enzyme, active site (IPR023313)","AK066232 (DDBJ, Best hit)","A3BC59 (UniProt)","-","-","J013057M05","19561","AT1G16890.3","1","protein_coding","ubiquitin-conjugating enzyme 36","UBC36/UBC13B encodes a protein that may play a role in DNA damage responses and error-free post-replicative DNA repair. It can bind to the MMZ/UEV1 proteins in vitro.","""ubiquitin-conjugating enzyme 36 (UBC36); CONTAINS InterPro DOMAIN/s: Ubiquitin-conjugating enzyme/RWD-like (InterPro:IPR016135), Ubiquitin-conjugating enzyme, E2 (InterPro:IPR000608); BEST Arabidopsis thaliana protein match is: ubiquitin-conjugating enzyme 35 (TAIR:AT1G78870.2).""","""AtUBC36,UBC13B,UBC36""","ubiquitin-conjugating enzyme 36","UBC36","""AtUBC36,UBC13B,UBIQUITIN CONJUGATING ENZYME 13B""","ubiquitin-conjugating enzyme 36","ubiquitin-conjugating enzyme 36 (UBC36)%3B FUNCTIONS IN: ubiquitin-protein ligase activity%2C protein binding%3B INVOLVED IN: root epidermal cell differentiation%2C response to iron ion%2C ubiquitin-dependent protein catabolic process%3B LOCATED IN: UBC13-MMS2 complex%2C plasma membrane%3B EXPRESSED IN: cultured cell%3B CONTAINS InterPro DOMAIN/s: Ubiquitin-conjugating enzyme/RWD-like (InterPro:IPR016135)%2C Ubiquitin-conjugating enzyme%2C E2 (InterPro:IPR000608)%3B BEST Arabidopsis thaliana protein match is: ubiquitin-conjugating enzyme 35 (TAIR:AT1G78870.2)%3B Has 10019 Blast hits to 10015 proteins in 393 species: Archae - 0%3B Bacteria - 4%3B Metazoa - 4493%3B Fungi - 2117%3B Plants - 1786%3B Viruses - 23%3B Other Eukaryotes - 1596 (source: NCBI BLink).","""PMID:11590065,PMID:12383089,PMID:16339806,PMID:16786304,PMID:17586653,PMID:18178771,PMID:18650403,PMID:20113438,PMID:20736450,PMID:22513011,locus:2015581""","protein_coding","UBC36/UBC13B encodes a protein that may play a role in DNA damage responses and error-free post-replicative DNA repair. It can bind to the MMZ/UEV1 proteins in vitro.","-","-","data"
"Os06t0593100-01","Os06g0593100","Similar to UDP-galactose/UDP-glucose transporter.","-","-","-","-","-","-","Biological Process: transmembrane transport (GO:0055085)","UAA transporter (IPR013657)","AK060274 (DDBJ, Best hit), AK071175 (DDBJ, Best hit)","B6TKZ4 (UniProt)","-","-","001-005-G07, J023084M11","-","AT2G02810.1","2","protein_coding","UDP-galactose transporter 1","""Encodes a multitransmembrane  hydrophobic protein that functions as transporter of UDP-galactose and UDP-glucose into the Golgi. Localized in the ER. Involved in the unfolded protein response, a mechanism that controls proper protein folding in the ER.""","UDP-galactose transporter 1 (UTR1); CONTAINS InterPro DOMAIN/s: UAA transporter (InterPro:IPR013657); BEST Arabidopsis thaliana protein match is: UDP-galactose transporter 3 (TAIR:AT1G14360.1)","""ATUTR1,UTR1""","UDP-galactose transporter 1","UTR1","""ATUTR1,UDP-GALACTOSE TRANSPORTER 1""","UDP-galactose transporter 1","UDP-galactose transporter 1 (UTR1)%3B CONTAINS InterPro DOMAIN/s: UAA transporter (InterPro:IPR013657)%3B BEST Arabidopsis thaliana protein match is: UDP-galactose transporter 3 (TAIR:AT1G14360.1)%3B Has 1052 Blast hits to 1046 proteins in 233 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 503%3B Fungi - 150%3B Plants - 232%3B Viruses - 0%3B Other Eukaryotes - 167 (source: NCBI BLink).","""PMID:12042319,PMID:12169696,PMID:12481097,PMID:12566592,PMID:12853141,PMID:15047898,PMID:15456736,PMID:15894741,PMID:15978049,PMID:16126853,PMID:16467298,PMID:16607029,PMID:17189325,PMID:18650403,PMID:18775970,PMID:19906043,locus:2058837""","protein_coding","Encodes a multitransmembrane  hydrophobic protein that functions as transporter of UDP-galactose and UDP-glucose into the Golgi. Localized in the ER. Involved in the unfolded protein response%2C a mechanism that controls proper protein folding in the ER.","-","-","data"
"Os06t0682900-01","Os06g0682900","Heat stress associated protein, Long-term acquired thermotolerance","HSA32, Hsa32, OsPPS1","HEAT-STRESS-ASSOCIATED 32KD PROTEIN, heat-stress-associated 32-kD protein, rice ortholog of Hsa32, Hsa32 homolog, phosphosulfolactate synthase 1","HSA32","HEAT-STRESS-ASSOCIATED 32KD PROTEIN","Hsa32, OsPPS1","heat-stress-associated 32-kD protein, rice ortholog of Hsa32, Hsa32 homolog, phosphosulfolactate synthase 1","Biological Process: coenzyme M biosynthetic process (GO:0019295), Molecular Function: catalytic activity (GO:0003824)","Peptidase S8, subtilisin-related (IPR015500), (2R)-phospho-3-sulpholactate synthase, ComA (IPR003830), Aldolase-type TIM barrel (IPR013785)","Inferred from literature","Q653W2","-","24520156","-","7355","AT4G21320.1","2","protein_coding","Aldolase-type TIM barrel family protein","Encodes heat-stress-associated 32-kD protein. Up-regulated by heat shock. Thermotolerance in a knockout mutant was compromised following a long recovery period (> 24 h) after acclimation heat shock treatment.","""HEAT-STRESS-ASSOCIATED 32 (HSA32); FUNCTIONS IN: catalytic activity; INVOLVED IN: response to heat, heat acclimation; LOCATED IN: cellular_component unknown; EXPRESSED IN: male gametophyte, pollen tube; EXPRESSED DURING: M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Aldolase-type TIM barrel (InterPro:IPR013785), (2R)-phospho-3-sulpholactate synthase, ComA (InterPro:IPR003830), Peptidase S8, subtilisin-related (InterPro:IPR015500)""","HSA32","Aldolase-type TIM barrel family protein","HSA32","-","HEAT-STRESS-ASSOCIATED 32","HEAT-STRESS-ASSOCIATED 32 (HSA32)%3B FUNCTIONS IN: catalytic activity%3B INVOLVED IN: response to heat%2C heat acclimation%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: male gametophyte%2C pollen tube%3B EXPRESSED DURING: M germinated pollen stage%3B CONTAINS InterPro DOMAIN/s: Aldolase-type TIM barrel (InterPro:IPR013785)%2C (2R)-phospho-3-sulpholactate synthase%2C ComA (InterPro:IPR003830)%2C Peptidase S8%2C subtilisin-related (InterPro:IPR015500)%3B Has 279 Blast hits to 279 proteins in 109 species: Archae - 46%3B Bacteria - 111%3B Metazoa - 0%3B Fungi - 36%3B Plants - 41%3B Viruses - 0%3B Other Eukaryotes - 45 (source: NCBI BLink).","""PMID:16500991,PMID:18775970,PMID:23073024,PMID:23439916,PMID:24769482,PMID:25575991,PMID:25711624,locus:2141196""","protein_coding","Encodes heat-stress-associated 32-kD protein. Up-regulated by heat shock. Thermotolerance in a knockout mutant was compromised following a long recovery period (%3E 24 h) after acclimation heat shock treatment.","-","-","data"
"Os06t0703800-01","Os06g0703800","Activator of Hsp90 ATPase, N-terminal domain containing protein.","-","-","-","-","-","-","Cellular Component: cytoplasm (GO:0005737), Molecular Function: ATPase activator activity (GO:0001671), Molecular Function: chaperone binding (GO:0051087)","Activator of Hsp90 ATPase, N-terminal (IPR015310)","AK066056 (DDBJ, Best hit)","D2E9R5 (UniProt)","-","-","J013052F01","-","AT5G58110.1","2","protein_coding","chaperone binding;ATPase activators","NULL","""chaperone binding;ATPase activators; FUNCTIONS IN: ATPase activator activity, chaperone binding; INVOLVED IN: biological_process unknown; LOCATED IN: cytoplasm; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Activator of Hsp90 ATPase, N-terminal (InterPro:IPR015310)""","-","chaperone binding / ATPase activator","-","-","-","chaperone binding%3BATPase activators%3B FUNCTIONS IN: ATPase activator activity%2C chaperone binding%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: cytoplasm%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Activator of Hsp90 ATPase%2C N-terminal (InterPro:IPR015310)%3B Has 297 Blast hits to 292 proteins in 99 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 161%3B Fungi - 2%3B Plants - 78%3B Viruses - 0%3B Other Eukaryotes - 56 (source: NCBI BLink).","""PMID:18775970,locus:2155851""","protein_coding","-","-","-","data"
"Os06t0716700-02","Os06g0716700","Similar to Heat shock protein 90.","-","-","HSP90","RICE 90KDA HEAT SHOCK PROTEIN","OsHsp90, rHSP90, OsHSP90, GRP94","rice 90kDa heat shock protein, heat shock protein90, heat shock protein 90, glucose-regulated protein 94","Biological Process: protein folding (GO:0006457), Biological Process: response to stress (GO:0006950), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)","Heat shock protein Hsp90 (IPR001404), ATPase-like, ATP-binding domain (IPR003594), Heat shock protein Hsp90, conserved site (IPR019805), Ribosomal protein S5 domain 2-type fold (IPR020568), Heat shock protein Hsp90, N-terminal (IPR020575)","AK102478 (DDBJ, Best hit)","Q9MB32 (UniProt)","-","-","J033094I10","11519","AT4G24190.1","2","protein_coding","Chaperone protein htpG family protein","""encodes an ortholog of GRP94, an ER-resident HSP90-like protein and is involved in regulation of meristem size and organization. Single and double mutant analyses suggest that SHD may be required for the correct folding and/or complex formation of CLV proteins. Lines carrying recessive mutations in this locus exhibits expanded shoot meristems, disorganized root meristems, and defective pollen tube elongation. Transcript is detected in all tissues examined and is not induced by heat.  Endoplasmin supports the protein secretory pathway and has a role in proliferating tissues.""","""SHEPHERD (SHD); FUNCTIONS IN: unfolded protein binding, ATP binding; INVOLVED IN: in 8 processes; LOCATED IN: in 7 components; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Chaperone protein htpG (InterPro:IPR001404), Heat shock protein Hsp90, C-terminal (InterPro:IPR020576), Heat shock protein Hsp90, N-terminal (InterPro:IPR020575), Molecular chaperone, heat shock protein, endoplasmin (InterPro:IPR015566), ATPase-like, ATP-binding domain (InterPro:IPR003594), Heat shock protein Hsp90, conserved site (InterPro:IPR019805), Ribosomal protein S5 domain 2-type fold (InterPro:IPR020568); BEST Arabidopsis thaliana protein match is: heat shock protein 90.1 (TAIR:AT5G52640.1)""","""AtHsp90-7,AtHsp90.7,HSP90.7,SHD""","Chaperone protein htpG family protein","SHD","""AtHsp90-7,HEAT SHOCK PROTEIN 90-7,AtHsp90.7,HEAT SHOCK PROTEIN 90.7,HSP90.7,HEAT SHOCK PROTEIN 90.7""","SHEPHERD","SHEPHERD (SHD)%3B FUNCTIONS IN: unfolded protein binding%2C ATP binding%3B INVOLVED IN: in 8 processes%3B LOCATED IN: in 7 components%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 16 growth stages%3B CONTAINS InterPro DOMAIN/s: Chaperone protein htpG (InterPro:IPR001404)%2C Heat shock protein Hsp90%2C C-terminal (InterPro:IPR020576)%2C Heat shock protein Hsp90%2C N-terminal (InterPro:IPR020575)%2C Molecular chaperone%2C heat shock protein%2C endoplasmin (InterPro:IPR015566)%2C ATPase-like%2C ATP-binding domain (InterPro:IPR003594)%2C Heat shock protein Hsp90%2C conserved site (InterPro:IPR019805)%2C Ribosomal protein S5 domain 2-type fold (InterPro:IPR020568)%3B BEST Arabidopsis thaliana protein match is: heat shock protein 90.1 (TAIR:AT5G52640.1)%3B Has 10659 Blast hits to 10182 proteins in 2496 species: Archae - 7%3B Bacteria - 3605%3B Metazoa - 2791%3B Fungi - 470%3B Plants - 491%3B Viruses - 10%3B Other Eukaryotes - 3285 (source: NCBI BLink).","""PMID:11867518,PMID:14617066,PMID:14671022,PMID:16618929,PMID:17059403,PMID:18650403,PMID:18849477,PMID:19148673,PMID:20118269,PMID:20493581,PMID:20736450,PMID:21798377,PMID:25297550,locus:2135887""","protein_coding","encodes an ortholog of GRP94%2C an ER-resident HSP90-like protein and is involved in regulation of meristem size and organization. Single and double mutant analyses suggest that SHD may be required for the correct folding and/or complex formation of CLV proteins. Lines carrying recessive mutations in this locus exhibits expanded shoot meristems%2C disorganized root meristems%2C and defective pollen tube elongation. Transcript is detected in all tissues examined and is not induced by heat.  Endoplasmin supports the protein secretory pathway and has a role in proliferating tissues.","-","-","data"
